term	keep
brodmann ba	
button	1
calculated	
calculation	1
called	
callosum	1
candidate	
canonical	
capacity	1
capture	1
carried	
carriers	
case	
cases	
categorical	1
categories	1
categorization	1
category	1
caudal	1
caudate	1
caudate nucleus	1
causal	
causal modeling	
causality	
cause	
caused	
causes	
center	
centered	
central	
central role	
cerebellar	1
cerebellum	1
cerebral	1
cerebral blood	
cerebral cortex	1
certain	
challenge	
challenges	
challenging	
change	
changed	
changing	
character	1
characteristic	
characteristics	
characterization	
characterize	
characterized	
characterizing	
characters	1
childhood	1
children	1
children adolescents	
chinese	1
choice	1
choices	1
choose	1
chosen	1
chronic	1
chronic pain	1
cingulate	1
cingulate cortex	1
cingulate cortices	1
cingulate gyrus	1
circuit	
circuitry	
circuits	
clarify	
class	
classic	
classical	1
classification	
classified	
clear	
clearly	
clinical	
clinically	
clips	
close	
closed	
closely	
cluster	
clustering	
clusters	
code	
coding	
cognition	1
cognitive	1
cognitive control	1
cognitive deficits	1
cognitive emotional	1
cognitive function	1
cognitive functions	1
cognitive impairment	1
cognitive neuroscience	
cognitive performance	1
cognitive processes	1
cognitive task	1
cognitive tasks	1
cognitively	1
coherence	1
coherent	
cohort	
collected	
collectively	
color	1
combination	
combinations	
combined	
combining	
common	
commonly	
communication	1
community	
comparable	
compare	
comparing	
comparisons	
compatible	
compensate	1
compensation	1
compensatory	1
competing	1
competition	1
complementary	
complete	
completed	
completely	
complex	1
complexity	1
component	
component ica	
components	
composed	
comprehension	1
comprehensive	
comprised	
compromised	
compulsive	1
compulsive disorder	1
computation	1
computational	
computed	
concentration	1
concept	1
concepts	1
conceptual	1
concerning	
conclude	
conclusion	
concomitant	
concrete	1
concurrent	1
concurrently	1
condition	
conditioned	1
conditioning	1
conditions	
conductance	1
conducted	
confidence	1
confirm	
confirmed	
conflict	1
conflicting	1
confounding	1
congruency	1
congruent	1
congruent incongruent	1
conjunction	1
connected	
connection	
connections	
connectivity	1
connectivity amygdala	
connectivity analyses	
connectivity anterior	
connectivity fc	
connectivity networks	
connectivity patterns	
connectivity posterior	
connectivity rsfc	
connectivity using	
conscious	1
consciousness	1
consecutive	1
consequence	
consequences	
consequently	
consider	
considerable	
considered	
considering	
consisted	
consistency	1
consistently	
consisting	
consists	
consolidation	1
constant	
constitute	
constrained	
constraints	1
construct	
constructed	
construction	1
consumption	1
contain	
contained	
containing	
contains	
content	
contents	
context	1
contexts	1
contextual	1
contingent	
continuous	
continuously	
contralateral	1
contrary	
contrast	
contrasted	
contrasting	
contrasts	
contribute	
contributed	
contributes	
contributing	
contribution	
contributions	
control	1
control condition	
control conditions	
control group	
control groups	
control network	1
control processes	1
control task	1
controlled	1
controlling	1
controls	1
controls hc	
controls hcs	
controls using	
controversial	
conventional	
convergence	
converging	
conversely	
conveyed	
coordinates	
coordination	1
core	1
corpus	1
corpus callosum	1
correct	1
corrected	
correction	1
correctly	1
correlate	
correlated	
correlated negatively	
correlated positively	
correlates	
correlating	
correlation	
correlation analyses	
correlations	
correspond	
corresponded	
correspondence	
corresponding	
cortex acc	1
cortex amygdala	1
cortex anterior	1
cortex ba	1
cortex bilaterally	1
cortex cerebellum	1
cortex dacc	1
cortex dlpfc	1
cortex dmpfc	1
cortex dorsal	1
cortex dorsolateral	1
cortex frontal	1
cortex hippocampus	1
cortex inferior	1
cortex insula	1
cortex involved	1
cortex lateral	1
cortex m1	1
cortex medial	1
cortex middle	1
cortex mpfc	1
cortex ofc	1
cortex parietal	1
cortex pcc	1
cortex pfc	1
cortex posterior	1
cortex ppc	1
cortex precuneus	1
cortex suggest	1
cortex superior	1
cortex supplementary	1
cortex thalamus	1
cortex ventral	1
cortex vlpfc	1
cortex vmpfc	1
cortical	1
cortical involved	
cortical network	
cortical networks	
cortical subcortical	
cortical thickness	
cortices	1
cortico	1
cost	
costs	
coupled	
coupling	
course	
courses	
covariance	
covaried	
covert	1
craving	1
created	
criteria	
critical	
critical role	
critically	
cross	
cross modal	1
cross sectional	
crossover	
crucial	
crucial role	
crucially	
crus	
cue	1
cued	1
cues	1
cuneus	1
current	
current functional	
currently	
dacc	1
daily	
daily life	1
damage	1
dataset	
datasets	
date	
day	
days	
deactivated	
deactivation	
deactivations	
debate	
debated	
decision	1
decision making	1
decision task	1
decisions	1
decline	1
declines	1
decoding	1
decreases	
decreasing	
deep	
default	1
default mode	1
default network	1
deficient	1
deficit	1
deficit hyperactivity	1
deficits	1
define	
defined	
degree	
degrees	
delay	1
delayed	1
delivered	
demand	1
demanding	1
demands	1
dementia	1
demonstrate	
demonstrated	
demonstrates	
demonstrating	
density	
depend	
depended	
dependence	1
depending	
depends	
depicting	
depressed	1
depression	1
depressive	1
depressive disorder	1
deprivation	1
depth	1
derived	
described	
describing	
design	
designed	
designs	
despite	
detailed	
details	
detect	1
detected	1
detecting	1
detection	1
detection task	1
determine	
determined	
determining	
develop	
developed	
developing	
development	1
developmental	1
diagnosed	
diagnosis	1
diagnostic	
did	
did differ	
differ	
differed	
difference	
differential	
differentially	
differentiate	
differentiated	
differentiation	
differently	
differing	
differs	
difficult	1
difficulties	
difficulty	1
diffusion	
diffusion tensor	
digit	1
dimension	1
dimensional	1
dimensions	1
diminished	
direct	
direct evidence	
directed	
direction	
directions	
directly	
disability	1
discrete	
discriminate	1
discriminated	1
discrimination	1
discrimination task	1
discriminative	1
discuss	
discussed	
discussion	
disease	1
disease ad	1
disease pd	1
diseases	1
disentangle	
disgust	1
disorder	1
disorder adhd	1
disorder mdd	1
disorder ocd	1
disorder ptsd	1
disorders	1
display	
displayed	
displays	
disrupted	
disruption	
dissociable	
dissociate	
dissociated	
dissociation	
distance	
distinction	
distinguish	
distinguished	
distraction	1
distractor	1
distractors	1
distress	
distributed	
distributed network	
distribution	
disturbances	
disturbed	
divergent	
diverse	
divided	1
dlpfc	1
dmn	1
dmpfc	1
documented	
does	
domain	
domain general	1
domains	
dominance	1
dominant	1
dopamine	1
dopaminergic	1
dorsal	1
dorsal anterior	1
dorsal attention	1
dorsal medial	1
dorsal premotor	1
dorsal striatum	1
dorsal ventral	1
dorsolateral	1
dorsolateral pfc	1
dorsolateral prefrontal	1
dorsomedial	1
dorsomedial prefrontal	1
dose	
dot	
double	
double blind	
drive	
driven	
driving	
drug	1
drugs	1
dti	
dual	
duration	
dynamic	
dynamic causal	
dynamically	
dynamics	
dysfunction	
dysfunctional	
dysfunctions	
dyslexia	1
dysregulation	1
earlier	
early	
early stage	
early stages	
early visual	1
easy	
eating	1
echo	
economic	1
education	1
eeg	
effect	
effective	
effective connectivity	
effectively	
effects	
efficacy	
efficiency	1
efficient	
effort	1
effortful	1
eighteen	
elderly	1
electrical	1
electroencephalography	
electroencephalography eeg	
electrophysiological	
elements	
elevated	
elicit	
elicited	
elicits	
elucidate	
elucidated	
elusive	
embedded	
emerge	
emerged	
emergence	
emerging	
emission	
emission tomography	
emotion	
emotion regulation	1
emotional	1
emotional faces	1
emotional information	1
emotional responses	1
emotional stimuli	1
emotional valence	1
emotionally	1
emotions	1
empathic	1
empathy	1
emphasize	
empirical	
employed	
employing	
enable	
enabled	
enables	
encode	1
encoded	1
encoding	1
encoding retrieval	1
encompassing	
end	
endogenous	1
engage	
engaged	
engagement	1
engages	
engaging	
english	1
enhance	
enhancement	
enhances	
enhancing	
entire	
environment	
environmental	
environments	
epilepsy	1
episode	1
episodes	1
episodic	1
episodic memory	1
equal	
equally	
equivalent	
erp	1
error	1
errors	1
especially	
essential	
establish	
established	
estimate	
estimated	
estimates	
estimation	1
et	
et al	
evaluate	
evaluated	
evaluating	
evaluation	1
evaluations	1
event	
event design	
event functional	
event potential	
event potentials	
events	1
everyday	1
everyday life	1
evidence	
evidence suggests	
evidenced	
evident	
evoke	
evoked	
evolution	
exact	
examination	
examining	
example	
excessive	
exclusively	
executed	1
execution	1
executive	1
executive control	1
executive function	1
executive functions	1
exert	
exhibit	
exhibited	
exhibited greater	
exhibiting	
exist	
existence	
existing	
exists	
expectancy	1
expectation	1
expectations	1
expected	
experience	1
experienced	
experiences	1
experiencing	1
experiment	
experimental	
experimental conditions	
experimentally	
experiments	
expertise	1
explain	
explained	
explanation	
explicit	1
explicitly	
exploration	1
exploratory	1
explore	
explored	
exploring	
exposed	
exposure	
expressed	1
expression	1
expressions	1
extend	
extended	
extending	
extends	
extension	
extensive	
extensively	
extent	
external	
externally	1
extinction	1
extra	
extract	
extracted	
extrastriate	1
eye	1
eye field	1
eye fields	1
eye movement	1
eye movements	1
eyes	1
fa	1
face	1
face ffa	1
face recognition	1
faces	1
facial	1
facial expression	1
facial expressions	1
facilitate	
facilitated	
facilitates	
facilitation	
fact	
factor	
factorial	
factorial design	
factors	
failed	
failure	
FALSE	
familiar	1
familiarity	1
family	1
far	
fasciculus	1
fashion	
fast	
faster	
fc	1
fear	1
fearful	1
fearful faces	1
feature	1
features	1
feedback	
feeling	1
feelings	1
female	1
females	1
fewer	
ffa	1
fiber	1
field	
fields	
final	
finally	
fine	
finger	1
finger movements	1
finger tapping	1
fixation	1
fixed	
flexibility	1
flexible	
flexibly	
flow	
fluctuation	
fluctuations	
fluency	1
focal	
foci	
focus	1
focused	
focusing	
follow	
followed	
following	
food	1
foot	1
force	1
form	1
formation	
formed	
forms	1
forward	
fourteen	
fractional	
fractional anisotropy	
framework	
free	
frequencies	
frequency	1
frequency fluctuations	
frequent	
frequently	
frontal	1
frontal cortex	1
frontal cortices	1
frontal eye	1
frontal gyri	1
frontal gyrus	1
frontal lobe	1
frontal lobes	1
frontal operculum	1
frontal parietal	1
frontal temporal	1
fronto	1
fronto parietal	1
fronto striatal	1
fronto temporal	1
frontoparietal	1
frontoparietal network	1
frontopolar	1
frontotemporal	1
fully	
function	
functional abnormalities	
functional connections	
functional connectivity	1
functional coupling	
functional magnetic	
functional network	
functional networks	
functional neuroanatomy	
functional organization	
functional role	
functional structural	
functionally	
functionally connected	
functioning	
functions	
fundamental	
furthermore	
fusiform	1
fusiform face	1
fusiform gyri	1
fusiform gyrus	1
future	
gain	1
gains	1
gambling	1
game	1
gamma	1
ganglia	1
gap	
gaze	1
gender	1
gene	
general	
general linear	
generalized	
generally	
generate	
generated	
generating	
generation	1
genes	1
genetic	
genetic risk	
genotype	
german	1
gestures	1
given	
global	
globus	1
globus pallidus	1
gm	1
gm volume	1
goal	1
goal directed	1
goals	1
good	
gradient	
granger	
graph	
grasping	1
gray	
gray matter	
great	
greater	
greater extent	
greatest	
grey	
grey matter	
group	
group comparisons	
group healthy	
group level	
groups	
growing	
guide	
guided	
gyri	1
gyrus	1
gyrus anterior	1
gyrus ba	1
gyrus cerebellum	1
gyrus ifg	1
gyrus inferior	1
gyrus insula	1
gyrus medial	1
gyrus mfg	1
gyrus middle	1
gyrus posterior	1
gyrus precuneus	1
gyrus stg	1
gyrus superior	1
half	
hand	1
hand movements	1
handed	1
handedness	1
hands	1
happy	1
happy faces	1
having	
hc	1
hcs	
head	1
health	1
healthy	
healthy adults	
healthy control	
healthy controls	
healthy handed	
healthy human	
healthy individuals	
healthy male	
healthy volunteers	
healthy young	
heard	1
hearing	1
heart	1
heart rate	1
heightened	
held	
help	
hemisphere	1
hemispheres	1
hemispheric	1
hemodynamic	
hemodynamic response	
hemodynamic responses	
heschl	1
heschl gyrus	1
heterogeneity	
heterogeneous	
hierarchical	
hierarchy	
high	
high frequency	
high functioning	
high level	
high low	
high resolution	
high risk	1
higher	
higher level	
higher levels	
higher order	
highest	
highlight	
highlighted	
highlights	
highly	
hippocampal	1
hippocampus	1
history	
hoc	1
homogeneity	
homogeneity reho	
hub	1
hubs	1
hum	
hum mapp	
human	1
humans	1
hyperactivation	1
hyperactivity	1
hyperactivity disorder	1
hypoactivation	1
hypothalamus	1
hypotheses	
hypothesize	
hypothesized	
hz	
ica	
idea	
identical	
identification	1
identified	
identify	
identifying	
identity	
ifg	1
ii	
iii	
illness	1
illusion	1
illustrate	
image	1
imagery	1
images	1
images acquired	
imagine	1
imagined	1
imitation	1
immediate	
immediately	
impact	
impacts	
impaired	
impairment	
impairments	
implementation	
implemented	
implicate	
implicated	
implications	
implications understanding	
implicit	1
imply	
importance	
important	
important role	
importantly	
improve	
improved	
improvement	
improvements	
improves	
impulsive	1
impulsivity	1
incentive	1
incentive delay	1
incidental	
include	
included	
includes	
incongruent	1
inconsistent	1
incorrect	1
increases	
increasing	
increasingly	
independent	
independent component	
independently	
index	
index finger	1
indexed	
indicate	
indicated	
indicates	
indicating	
indices	
indirect	
individual	
individual variability	1
individually	
individuals	
induce	
induced	
induces	
inducing	
induction	1
infer	
inference	1
inferences	1
inferior	1
inferior frontal	1
inferior middle	1
inferior occipital	1
inferior parietal	1
inferior prefrontal	1
inferior superior	1
inferior temporal	1
influence	
influenced	
influences	
inform	
information	1
inhibit	1
inhibition	1
inhibitory	1
inhibitory control	1
initial	
initially	
initiation	
injury	1
input	
inputs	
insight	
insights	
instead	
instructed	
instruction	1
instructions	1
insula	1
insula anterior	1
insula inferior	1
insular	1
insular cortex	1
intact	
integrate	1
integrated	1
integrating	1
integration	1
integrative	1
integrity	1
intelligence	1
intense	1
intensity	1
intention	1
intentional	1
intentions	1
inter	
inter individual	
interact	
interacting	
interaction	1
interactions	1
interactive	1
interacts	
interestingly	
interference	1
interhemispheric	1
intermediate	
internal	
internally	
interoceptive	1
interpersonal	1
interplay	
interpret	
interpretation	
interpreted	
interval	1
intervals	1
intervention	
interventions	
intra	
intraparietal	1
intraparietal sulcus	1
intrinsic	
intrinsic functional	
introduced	
introduction	
invariant	
invasive	1
inventory	
inverse	
inversely	
investigates	
investigating	
investigation	
investigations	
involve	
involved	
involved cognitive	
involvement	
involves	
involving	
ipl	1
ips	1
ipsilateral	1
iq	1
irrelevant	
irrespective	
isolate	
isolated	
issue	
issues	
item	1
items	1
iv	
joint	
judge	
judged	
judgment	1
judgment task	1
judgments	1
junction	1
junction tpj	1
just	
key	
key role	
kinds	
know	
knowledge	1
known	
known involved	
labeling	
laboratory	
lack	
lacking	
language	1
language comprehension	1
language network	1
languages	1
large	
large sample	
large scale	
largely	
largely unknown	
larger	
late	
latencies	
latency	
later	
lateral	1
lateral frontal	1
lateral medial	1
lateral occipital	1
lateral orbitofrontal	1
lateral parietal	1
lateral prefrontal	1
lateral temporal	1
laterality	
lateralization	1
lateralized	1
lead	
leading	
leads	
learn	1
learned	1
learning	1
learning task	1
led	
length	
lesion	1
lesions	1
lesser	
letter	1
letters	1
level	
level bold	
level signal	
levels	
lexical	1
lexical decision	1
life	1
light	1
like	
likelihood	1
likely	
limb	1
limbic	1
limitations	
limited	
line	
linear	
linear model	
linearly	
lingual	1
lingual gyrus	1
linguistic	1
link	
linked	
linking	
links	
list	
listened	1
listening	1
literature	
little	
little known	
load	1
lobe	1
lobe mtl	1
lobes	1
lobule	1
lobule ipl	1
lobules	1
local	
localization	
localize	
localized	
located	
location	1
locations	1
locus	1
long	
long term	1
longer	
longitudinal	
loop	1
loss	1
losses	1
low	
low frequency	
low high	
low level	1
lower	
m1	1
machine	
magnetic	
magnetic resonance	
magnetic stimulation	1
magnetoencephalography	1
magnitude	1
main	
main effect	
mainly	
maintain	
maintained	
maintaining	
maintenance	1
major	
major depression	1
major depressive	1
majority	
make	
making	
male	
male female	
males	
manifest	
manipulated	
manipulating	
manipulation	1
manipulations	1
manner	
manual	1
map	
mapp	
mapped	
mapping	1
maps	1
marked	
marker	
markers	
masked	
mass	
match	1
matching	1
matching task	1
material	
materials	
matrix	
matter	
matter density	
matter gm	
matter volume	
matter volumes	
maturation	
maximal	
maximum	
mci	1
mdd	1
mean	
mean age	
meaning	
meaningful	
means	
measure	
measurement	
measurements	
measures	
measuring	
mechanism	
mechanisms	
mechanisms involved	
mechanisms underlying	
medial	1
medial frontal	1
medial lateral	1
medial orbitofrontal	1
medial pfc	1
medial prefrontal	1
medial superior	1
medial temporal	1
median	
mediate	
mediated	
mediates	
mediating	
medication	
meg	
memories	1
memory	1
memory encoding	1
memory load	1
memory performance	1
memory processes	1
memory retrieval	1
memory task	1
memory tasks	1
memory test	1
memory wm	1
men	
men women	
mental	
mental imagery	1
mental state	1
mental states	1
mentalizing	1
mesial	1
mesolimbic	1
met	1
metabolic	1
metabolism	1
method	
methodological	
methodology	
methodology principal	
methods	
methods functional	
mfg	1
mg	1
mid	
midbrain	1
middle	
middle cingulate	1
middle frontal	1
middle inferior	1
middle occipital	1
middle superior	1
middle temporal	1
midline	1
mild	
mild cognitive	1
min	
mind	1
mind tom	1
minimal	
mirror	1
mirror neuron	
mixed	
mm	1
mnemonic	1
modal	
modalities	1
modality	1
mode	
mode network	
model	
modeling	
models	
moderate	
modified	
modulate	
modulated	
modulates	
modulating	
modulation	
modulations	
modulatory	1
monetary	1
monetary incentive	1
monetary reward	1
money	1
monitor	
monitored	
monitoring	1
monkey	
monkeys	
months	
mood	1
moral	1
morphological	1
morphology	1
morphometry	
morphometry vbm	
motion	1
motivation	1
motivational	1
motor	1
motor control	1
motor cortex	1
motor function	1
motor imagery	1
motor network	1
motor performance	1
motor pre	1
motor premotor	1
motor response	1
motor responses	1
motor sma	1
motor task	1
movement	1
movements	1
moving	
mpfc	1
mr	
ms	1
mt	1
mtg	1
mtl	1
multi	
multimodal	
multiple	
multiple comparisons	
multiple sclerosis	1
multisensory	1
multivariate	
multivariate pattern	
muscle	1
music	1
musical	1
musicians	1
naive	
names	1
naming	1
native	
natural	1
naturalistic	1
nature	1
navigation	1
near	
necessary	
need	
needed	
needs	
negative	1
negative affect	1
negative correlation	
negative correlations	
negative emotional	1
negative emotions	1
negative feedback	1
negative neutral	1
negative positive	1
negatively	
negatively correlated	
negativity	1
neocortical	1
nerve	
nervous	
network	
network connectivity	
network dmn	1
network involved	
networks	
networks involved	
neuro	
neuroanatomical	
neuroanatomy	
neurobiological	
neurobiology	
neurocognitive	
neurodegenerative	
neurodevelopmental	
neurofunctional	
neurological	
neuron	
neuronal	
neurons	
neurophysiological	
neuropsychiatric	
neuropsychological	
neuroscience	
neutral	1
neutral faces	1
neutral pictures	1
neutral stimuli	1
new	
new insights	
newly	
nineteen	
nociceptive	1
node	
nodes	
nogo	1
noise	1
non	
normal	
normal controls	
normalized	
normally	
notably	
noted	
notion	
nouns	1
novel	1
novelty	1
noxious	1
nuclei	1
nucleus	1
nucleus accumbens	1
number	
numbers	
numerical	
numerous	
object	1
object recognition	1
objective	
objectives	
objects	1
observation	
observations	
observer	
observers	
observing	
obsessive	1
obsessive compulsive	1
obtain	
obtained	
occipital	1
occipital cortex	1
occipital gyrus	1
occipital lobe	1
occipital parietal	1
occipital temporal	1
occipito	1
occipito temporal	1
occipitotemporal	1
occipitotemporal cortex	1
occur	
occurred	
occurrence	
occurring	
occurs	
ocd	1
oddball	1
ofc	1
offer	
offers	
old	
older	
older adults	1
olfactory	1
ones	
ongoing	
online	
onset	
open	
operation	
operations	
opercular	1
opercularis	1
operculum	1
opportunity	
opposed	
opposite	
optimal	
optimized	
options	
oral	1
orbital	1
orbitofrontal	1
orbitofrontal cortex	1
order	
organization	1
organized	
orientation	1
oriented	1
orienting	1
origin	
original	
orthographic	1
oscillations	1
outcome	1
outcomes	1
output	
outside	
outside scanner	
overall	
overcome	
overlap	
overlapped	
overlapping	
overt	
oxygen	
oxygen level	
oxygenation	
oxygenation level	
paced	
pain	1
painful	1
pair	1
paired	1
pairs	1
pallidus	1
paper	
paradigm	
paradigms	
parahippocampal	1
parahippocampal cortex	1
parahippocampal gyrus	1
parahippocampus	1
paralimbic	1
parallel	
parameter	
parameters	
parametric	
parametric mapping	
parametrically	
parietal	1
parietal cortex	1
parietal cortices	1
parietal frontal	1
parietal junction	1
parietal lobe	1
parietal lobes	1
parietal lobule	1
parietal lobules	1
parietal network	1
parietal occipital	1
parietal temporal	1
parieto	1
parieto occipital	1
parkinson	1
parkinson disease	1
pars	1
pars opercularis	
partial	
partially	
participant	
participate	
participated	
particular	
particularly	
partly	
partner	
parts	
passive	1
passive viewing	1
passively	1
past	
pathological	
pathology	
pathophysiological	
pathophysiology	
pathway	
pathways	
patient	
patient group	
patient groups	
pattern	
patterns	
pcc	1
pd	1
peak	
people	1
perceive	
perceived	
perceiving	1
percept	1
perception	1
perceptual	1
perform	
performance	1
performance task	1
performances	
performing	
perfusion	
periaqueductal	1
period	
periodicals	
periods	
peripheral	
persistent	
person	1
personal	1
personality	1
personality traits	1
persons	1
perspective	
pet	
pfc	1
pharmacological	1
phase	
phases	
phenomena	
phenomenon	
phenotype	
phonological	1
photographs	1
physical	
physiological	
picture	1
pictures	1
pitch	1
place	1
placebo	1
placebo controlled	1
planning	1
planum	1
planum temporale	1
plasticity	1
play	
play important	
play role	
played	
playing	
plays	
plays important	
plays role	
pleasant	1
point	
pointing	1
points	
pole	1
polymorphism	
poor	1
poorer	
poorly	
poorly understood	
population	
populations	
portion	
portions	
position	
positive	
positive correlation	
positive correlations	
positive negative	1
positively	
positively correlated	
positron	
positron emission	
possibility	
possible	
possibly	
post	
post hoc	
postcentral	1
postcentral gyrus	1
posterior	1
posterior anterior	1
posterior cingulate	1
posterior inferior	1
posterior insula	1
posterior middle	1
posterior parietal	1
posterior superior	1
posterior temporal	1
posttraumatic	1
potential	
potentially	
potentials	
power	
powerful	
ppc	1
ppi	
practice	
pre	
pre post	
pre sma	1
pre supplementary	1
preceded	
preceding	
precentral	
precentral gyrus	1
precise	
precuneus	1
precuneus posterior	1
predict	
predicted	
predicting	
prediction	1
prediction error	1
predictions	1
predictive	1
predictors	
predicts	
predominantly	
preference	1
preferences	1
preferential	
preferentially	
prefrontal	1
prefrontal cortex	1
prefrontal cortical	1
prefrontal cortices	1
prefrontal parietal	1
preliminary	
premotor	1
premotor cortex	1
preparation	1
preparatory	1
presence	
presentation	
presentations	
presented	
presenting	
preserved	
press	
pressure	1
presumably	
previous	
previous functional	
previous reports	
previous research	
previous shown	
previous work	
primarily	
primary	1
primary auditory	1
primary motor	1
primary secondary	1
primary sensorimotor	1
primary somatosensory	1
primary visual	1
primates	
prime	1
priming	1
principal	
principle	
prior	
priori	
probabilistic	1
probability	1
probably	
probe	
problem	
problems	
procedure	
procedures	
process	
processed	
processes	
processes involved	
processes underlying	
produce	
produced	
producing	
production	1
profile	
profiles	
progression	
progressive	1
prolonged	
prominent	
promising	
pronounced	
proper	
properties	
proportion	
propose	
proposed	
prospective	1
protocol	
provide	
provide evidence	
provide new	
provide novel	
provided	
provides	
provides evidence	
providing	
pseudowords	1
psts	1
psychiatric	
psychiatric disorders	
psychological	
psychopathology	
psychophysical	
psychophysiological	
psychophysiological interaction	
psychosis	1
psychotic	1
ptsd	1
published	
punishment	1
pure	
purpose	
putamen	1
putative	
quality	
quantified	
quantify	
quantitative	
question	
questionnaire	1
questions	
random	
random effects	
randomized	
randomly	
range	
ranging	
rapid	
rapidly	
rare	
rarely	
rate	
rated	
rates	
rating	1
ratings	1
ratio	
rationale	
reach	
reaching	1
reaction	1
reaction time	1
reaction times	1
reactions	1
reactivity	1
read	1
readers	1
reading	1
real	
real time	
real world	1
reality	
reappraisal	1
reasoning	1
recall	1
receive	
received	
receiving	
recently	
receptor	
recognition	1
recognition memory	1
recognition task	1
recognize	1
recognized	1
recognizing	1
recollection	1
recorded	
recording	
recordings	
recovery	
recruit	
recruited	
recruitment	
recruits	
reduce	
reduces	
reducing	
reduction	
reductions	
reference	1
referential	1
referred	1
refers	
reflect	
reflected	
reflecting	
reflects	
regard	
regarding	
regardless	
regional	
regional cerebral	
regional gray	
regional homogeneity	
regular	
regulate	1
regulating	1
regulation	1
regulatory	1
rehabilitation	1
rehearsal	1
reho	1
reinforcement	1
reinforcement learning	1
relate	
relates	
relation	
relational	1
relations	
relationship	
relationships	
relatively	
relevance	1
relevant	
relevant information	
reliability	
reliable	
reliably	
reliance	
relied	
relies	
rely	
remain	
